idSport;Session;date;debut;details;fin;idLieu
6;VBV22;03/08/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV23;03/08/2024;16:00;"Tour préliminaire - Femmes et hommes (2 matchs)
Lucky Loser - Femmes ou hommes (1 match)";19:00;34
6;VBV24;03/08/2024;21:00;Lucky Losers - Femmes et hommes (3 matchs);00:00;34
6;VBV25;04/08/2024;09:00;8e de finale - Femmes et hommes (2 matchs);11:00;34
6;VBV26;04/08/2024;13:00;8e de finale - Femmes et hommes (2 matchs);15:00;34
6;VBV27;04/08/2024;17:00;8e de finale - Femmes et hommes (2 matchs);19:00;34
6;VBV28;04/08/2024;21:00;8e de finale - Femmes et hommes (2 matchs);23:00;34
6;VBV29;05/08/2024;09:00;8e de finale - Femmes et hommes (2 matchs);11:00;34
6;VBV30;05/08/2024;13:00;8e de finale - Femmes et hommes (2 matchs);15:00;34
6;VBV31;05/08/2024;17:00;8e de finale - Femmes et hommes (2 matchs);19:00;34
6;VBV32;05/08/2024;21:00;8e de finale - Femmes et hommes (2 matchs);23:00;34
6;VBV33;06/08/2024;17:00;Quarts de finales - Femmes et hommes (2 matchs);19:00;34
6;VBV34;06/08/2024;21:00;Quarts de finales - Femmes et hommes (2 matchs);23:00;34
6;VBV35;07/08/2024;17:00;Quarts de finales - Femmes et hommes (2 matchs);19:00;34
6;VBV36;07/08/2024;21:00;Quarts de finales - Femmes et hommes (2 matchs);23:00;34
6;VBV37;08/08/2024;17:00;Demi-finales - Femmes et hommes (2 matchs);19:00;34
6;VBV38;08/08/2024;21:00;Demi-finales - Femmes et hommes (2 matchs);23:00;34
6;VBV39;09/08/2024;21:00;"Match pour la médaille de bronze - Femmes
Match pour la médaille d'or - Femmes";00:00;34
6;VBV40;10/08/2024;21:00;"Match pour la médaille de bronze - Hommes
Match pour la médaille d'or - Hommes";00:00;34
7;BMF01;30/07/2024;13:25:00;"Park - femmes, manche qualificative
Park - hommes, manche qualificative";16:30:00;10
7;BMF02;31/07/2024;13:10:00;"Park - femmes, finale
Park - hommes, finale";16:30:00;10
8;BMX01;01/08/2024;20:00;"Hommes, quarts de finale
Femmes, quarts de finale
Hommes, Last Chance
Femmes, Last Chance";22:20:00;22
8;BMX02;02/08/2024;20:00;"Hommes, demi-finales
Femmes, demi-finales
Hommes, finale
Femmes, finale";22:30:00;22
10;Box 24;06/08/2024;21:30:00;"71kg - Hommes, demi-finale, combat 17
71kg - Hommes, demi-finale, combat 18
50 kg - Femmes, demi-finale, combat 19
50 kg - Femmes, demi-finale, combat 20
66 kg - Femmes, demi-finale, combat 17
66 kg - Femmes, demi-finale, combat 18
60 kg - Femmes, finale combat 21
60kg - Femmes, cérémonie";23:30:00;33
10;BOX01;27/07/2024;15:30:00;"54kg - Femmes, 1/32 finale combat 1
54kg - Femmes, 1/32 finale combat 2
54kg - Femmes, 1/32 finale combat 3
60kg - Femmes, 1/32 finale combat 1
60kg - Femmes, 1/32 finale combat 2
60kg - Femmes, 1/32 finale combat 3
63.5kg - Hommes, 1/32 finale combat 1
63.5kg - Hommes, 1/32 finale combat 2
80kg - Hommes, 1/32 finale combat 1";17:55:00;3
10;BOX02;27/07/2024;20:00;"54kg - Femmes, 1/32 finale combat 4
54kg - Femmes, 1/32 finale combat 5
54kg - Femmes, 1/32 finale combat 6
60kg - Femmes, 1/32 finale combat 4
60kg - Femmes, 1/32 finale combat 5
60kg - Femmes, 1/32 finale combat 6
63.5kg - Hommes, 1/32 finale combat 3
63.5kg - Hommes, 1/32 finale combat 4
80kg - Hommes, 1/32 finale combat 2";22:25:00;3
